Date,Open,High,Low,Close,Volume
2025-04-28 13:30:00,210.06,211.5,207.46,210.14,190370.5
2025-04-29 13:30:00,208.8,212.24,208.37,211.21,166450.97
2025-04-30 13:30:00,209.26,213.58,206.67,212.5,208637.54
2025-05-01 13:30:00,209.08,214.56,208.9,213.32,267942.44
2025-05-02 13:30:00,206.09,206.99,202.16,205.35,589863.58
2025-05-05 13:30:00,203.1,204.1,198.21,198.89,380804.27
2025-05-06 13:30:00,198.17,200.65,197.02,198.51,267664.29
2025-05-07 13:30:00,199.17,199.44,193.25,196.25,358062.59
2025-05-08 13:30:00,197.73,200.05,194.67,197.49,285986.85
2025-05-09 13:30:00,199.0,200.54,197.53,198.53,216493.02
2025-05-12 13:30:00,211.04,211.26,206.75,210.79,373137.36
2025-05-13 13:30:00,210.37,213.4,209.0,212.93,279999.1
2025-05-14 13:30:00,212.43,213.94,210.58,212.33,266616.18
2025-05-15 13:30:00,210.95,212.96,209.54,211.45,256847.25
2025-05-16 13:30:00,212.36,212.57,209.77,211.26,235240.24
2025-05-19 13:30:00,207.78,209.48,204.26,208.78,267569.89
2025-05-20 13:30:00,207.67,208.47,205.03,206.86,236053.1
2025-05-21 13:30:00,205.17,207.04,200.71,202.09,374019.76
2025-05-22 13:30:00,200.71,202.75,199.78,201.36,292116.75
2025-05-23 13:30:00,193.67,197.7,193.46,195.27,487862.06
2025-05-27 13:30:00,198.29,200.74,197.43,200.21,335127.68
2025-05-28 13:30:00,200.53,202.73,199.9,200.42,239313.71
2025-05-29 13:30:00,203.49,203.81,198.51,199.95,304171.4
2025-05-30 13:30:00,199.39,201.96,196.78,200.85,285691.53
2025-06-02 13:30:00,200.28,202.13,200.12,201.7,197442.8
2025-06-03 13:30:00,201.35,203.77,200.95,203.27,238873.48
2025-06-04 13:30:00,202.97,206.24,202.1,202.82,263069.75
2025-06-05 13:30:00,203.56,204.75,200.15,200.63,285924.25
2025-06-06 13:30:00,203.0,205.7,202.05,203.92,273995.78
2025-06-09 13:30:00,204.47,206.0,200.02,201.45,486426.69
2025-06-10 13:30:00,200.56,204.35,200.56,202.67,321902.07
2025-06-11 13:30:00,203.5,204.5,198.41,198.78,373888.26
2025-06-12 13:30:00,199.08,199.68,197.36,199.2,257934.03
2025-06-13 13:30:00,199.83,200.37,195.7,196.45,313984.29
2025-06-16 13:30:00,197.28,198.69,196.56,198.42,246858.77
