Date,Open,High,Low,Close,Volume
2025-04-25 13:30:00,206.35,209.25,206.2,207.5,96189.59
2025-04-25 16:00:00,207.49,209.75,207.33,209.23,102306.71
2025-04-28 13:30:00,210.06,211.5,207.58,207.96,97730.8
2025-04-28 16:00:00,207.95,211.5,207.46,210.09,92639.7
2025-04-29 13:30:00,208.8,212.24,208.37,210.62,79434.47
2025-04-29 16:00:00,210.62,211.97,209.35,211.24,87016.5
2025-04-30 13:30:00,209.26,211.13,206.67,211.05,83635.05
2025-04-30 16:00:00,211.04,213.58,209.8,212.49,125002.49
2025-05-01 13:30:00,209.08,214.27,208.9,211.58,134285.26
2025-05-01 16:00:00,211.6,214.56,211.53,212.83,133657.18
2025-05-02 13:30:00,206.09,206.99,202.16,205.48,317469.82
2025-05-02 16:00:00,205.49,206.58,203.66,205.3,272393.76
2025-05-05 13:30:00,203.1,204.1,198.21,199.28,199901.84
2025-05-05 16:00:00,199.28,201.16,198.51,198.77,180902.43
2025-05-06 13:30:00,198.17,199.88,197.02,198.81,140245.28
2025-05-06 16:00:00,198.83,200.65,198.37,198.41,127419.01
2025-05-07 13:30:00,199.17,199.44,193.25,195.11,184859.28
2025-05-07 16:00:00,195.1,197.47,193.3,196.22,173203.31
2025-05-08 13:30:00,197.73,199.75,194.67,199.34,145773.4
2025-05-08 16:00:00,199.34,200.05,197.16,197.4,140213.45
2025-05-09 13:30:00,199.0,200.54,197.53,198.76,110742.27
2025-05-09 16:00:00,198.72,199.43,197.6,198.54,105750.75
2025-05-12 13:30:00,211.04,211.26,206.75,208.43,216832.13
2025-05-12 16:00:00,208.43,211.15,208.25,210.83,156305.23
2025-05-13 13:30:00,210.37,211.88,209.0,210.89,140203.66
2025-05-13 16:00:00,210.9,213.4,210.65,212.84,139795.44
2025-05-14 13:30:00,212.43,213.94,211.85,212.39,126509.79
2025-05-14 16:00:00,212.38,212.68,210.58,212.41,140106.39
2025-05-15 13:30:00,210.95,212.96,209.54,211.96,121531.0
2025-05-15 16:00:00,211.96,212.28,210.15,211.45,135316.25
