2009-12-01,-37770.0
2010-01-01,-36189.0
2010-02-01,-40015.0
2010-03-01,-38763.0
2010-04-01,-39865.0
2010-05-01,-40482.0
2010-06-01,-45705.0
2010-07-01,-39896.0
2010-08-01,-43962.0
2010-09-01,-42687.0
2010-10-01,-38883.0
2010-11-01,-36974.0
2010-12-01,-39984.0
2011-01-01,-46290.0
2011-02-01,-43148.0
2011-03-01,-42403.0
2011-04-01,-40925.0
2011-05-01,-45913.0
2011-06-01,-48083.0
2011-07-01,-44112.0
2011-08-01,-43099.0
2011-09-01,-41587.0
2011-10-01,-43596.0
2011-11-01,-45503.0
2011-12-01,-47466.0
2012-01-01,-48080.0
2012-02-01,-40603.0
2012-03-01,-47570.0
2012-04-01,-44597.0
2012-05-01,-43047.0
2012-06-01,-40811.0
2012-07-01,-40305.0
2012-08-01,-42094.0
2012-09-01,-36806.0
2012-10-01,-39498.0
2012-11-01,-43570.0
2012-12-01,-34743.0
2013-01-01,-38623.0
2013-02-01,-39383.0
2013-03-01,-32867.0
2013-04-01,-36687.0
2013-05-01,-40272.0
2013-06-01,-33019.0
2013-07-01,-34949.0
2013-08-01,-35141.0
2013-09-01,-38259.0
2013-10-01,-34544.0
2013-11-01,-32257.0
2013-12-01,-31952.0
2014-01-01,-35804.0
2014-02-01,-38455.0
2014-03-01,-39876.0
2014-04-01,-42370.0
2014-05-01,-38099.0
2014-06-01,-37413.0
2014-07-01,-37650.0
2014-08-01,-35432.0
2014-09-01,-40052.0
2014-10-01,-38980.0
2014-11-01,-38123.0
2014-12-01,-41369.0
2015-01-01,-37225.0
2015-02-01,-32548.0
2015-03-01,-47342.0
2015-04-01,-38486.0
2015-05-01,-36971.0
2015-06-01,-40990.0
2015-07-01,-38954.0
2015-08-01,-42908.0
2015-09-01,-40097.0
2015-10-01,-38808.0
2015-11-01,-38611.0
2015-12-01,-39323.0
2016-01-01,-38710.0
2016-02-01,-42010.0
2016-03-01,-35478.0
2016-04-01,-36346.0
2016-05-01,-37451.0
2016-06-01,-40160.0
2016-07-01,-38280.0
2016-08-01,-38623.0
2016-09-01,-35508.0
2016-10-01,-37438.0
2016-11-01,-42849.0
2016-12-01,-39741.0
2017-01-01,-41956.0
2017-02-01,-38385.0
2017-03-01,-39838.0
2017-04-01,-42831.0
2017-05-01,-42426.0
2017-06-01,-41057.0
2017-07-01,-41672.0
2017-08-01,-39763.0
2017-09-01,-39962.0
2017-10-01,-41268.0
2017-11-01,-43876.0
2017-12-01,-44808.0
2018-01-01,-45553.0
2018-02-01,-47062.0
2018-03-01,-41941.0
2018-04-01,-44681.0
2018-05-01,-39891.0
2018-06-01,-43010.0
2018-07-01,-47972.0
2018-08-01,-47815.0
2018-09-01,-48529.0
2018-10-01,-50381.0
2018-11-01,-47249.0
2018-12-01,-53134.0
2019-01-01,-46532.0
2019-02-01,-45455.0
2019-03-01,-46137.0
2019-04-01,-47873.0
2019-05-01,-49280.0
2019-06-01,-46816.0
2019-07-01,-46397.0
2019-08-01,-46610.0
2019-09-01,-42306.0
2019-10-01,-39424.0
2019-11-01,-36895.0
2019-12-01,-41681.0
2020-01-01,-41443.0
2020-02-01,-37485.0
2020-03-01,-41407.0
2020-04-01,-51703.0
2020-05-01,-53786.0
2020-06-01,-48906.0
2020-07-01,-58601.0
2020-08-01,-61457.0
2020-09-01,-56525.0
2020-10-01,-60580.0
2020-11-01,-63771.0
2020-12-01,-61388.0
2021-01-01,-61417.0
2021-02-01,-64065.0
2021-03-01,-64295.0
2021-04-01,-63753.0
2021-05-01,-64836.0
2021-06-01,-70080.0
2021-07-01,-67436.0
2021-08-01,-72423.0
2021-09-01,-74421.0
2021-10-01,-66049.0
2021-11-01,-80441.0
2021-12-01,-77887.0
2022-01-01,-82255.0
2022-02-01,-82123.0
2022-03-01,-95536.0
2022-04-01,-80405.0
2022-05-01,-79828.0
2022-06-01,-77509.0
2022-07-01,-65835.0
2022-08-01,-66507.0
2022-09-01,-66908.0
2022-10-01,-74997.0
2022-11-01,-62608.0
2022-12-01,-68374.0
2023-01-01,-66207.0
2023-02-01,-65938.0
2023-03-01,-54120.0
2023-04-01,-69008.0
2023-05-01,-62987.0
2023-06-01,-62398.0
2023-07-01,-62054.0
2023-08-01,-58080.0
